"groupId"	"artifactId"	"version"	"packaging"	"repository"	"tag"	"path"	"author"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.21"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.21"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.7"	"hpi"	"analysis-core-plugin"	"analysis-core-1.7"	""	""
"org.jvnet.hudson.plugins"	"analysis-core"	"1.30"	"hpi"	"analysis-core-plugin"	"analysis-core-1.30"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-collector"	"1.17"	"hpi"	"analysis-collector-plugin"	"analysis-collector-1.17"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.40"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.40"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.8"	"hpi"	"analysis-core-plugin"	"analysis-core-1.8"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.22"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.22"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.23"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.23"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.9"	"hpi"	"analysis-core-plugin"	"analysis-core-1.9"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.24"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.24"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.33"	"hpi"	"analysis-core-plugin"	"analysis-core-1.33"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.20"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.20"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-core"	"1.15"	"hpi"	"analysis-core-plugin"	"analysis-core-1.15"	""	""
"org.jvnet.hudson.plugins"	"analysis-pom"	"1.29"	"pom"	"analysis-pom-plugin"	"analysis-pom-1.29"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-test"	"1.7"	"jar"	"analysis-test-plugin"	"analysis-test-1.7"	""	"drulli"
"org.jvnet.hudson.plugins"	"analysis-collector"	"1.19"	"hpi"	"analysis-collector-plugin"	"analysis-collector-1.19"	""	"drulli"
